CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count
768805383,45,M,3,High School,Married,$60K - $80K,Blue,39,5
818770008,49,F,5,Graduate,Single,Less than $40K,Blue,44,6
713982108,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4
769911858,40,F,4,High School,Unknown,Less than $40K,Blue,34,3
709106358,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5
713061558,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3
810347208,51,M,4,Unknown,Married,$120K +,Gold,46,6
818906208,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2
710930508,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5
719661558,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6
708790833,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5
710821833,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6
710599683,56,M,1,College,Single,$80K - $120K,Blue,36,3
816082233,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5
712396908,57,F,2,Graduate,Married,Less than $40K,Blue,48,5
714885258,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5
709967358,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6
753327333,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4
806160108,61,M,1,High School,Married,$40K - $60K,Blue,56,2
709327383,45,F,2,Graduate,Married,Unknown,Blue,37,6
806165208,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5
708508758,62,F,0,Graduate,Married,Less than $40K,Blue,49,2
784725333,41,M,3,High School,Married,$40K - $60K,Blue,33,4
811604133,47,F,4,Unknown,Single,Less than $40K,Blue,36,3
789124683,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4
771071958,41,F,3,Graduate,Single,Less than $40K,Blue,28,6
720466383,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4
804424383,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3
718813833,44,F,3,Uneducated,Single,Unknown,Blue,34,5
806624208,47,M,4,High School,Married,$40K - $60K,Blue,42,6
778348233,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3
712991808,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2
709029408,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4
788658483,53,F,2,College,Married,Less than $40K,Blue,38,5
787937058,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6
715318008,55,F,1,College,Single,Less than $40K,Blue,36,4
713962233,55,F,3,Graduate,Married,Less than $40K,Blue,36,6
785432733,42,F,4,High School,Married,Less than $40K,Gold,36,2
715190283,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3
708300483,66,F,0,Doctorate,Married,Unknown,Blue,56,5
827111283,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2
758551608,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4
773146383,50,F,1,College,Single,$40K - $60K,Silver,43,3
778493808,49,M,3,High School,Married,$60K - $80K,Blue,37,5
720572508,38,F,4,Graduate,Single,Unknown,Blue,28,2
712661433,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3
789172683,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6
738406533,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3
799723908,46,M,3,High School,Married,$80K - $120K,Blue,40,4
771490833,52,M,1,College,Single,$80K - $120K,Blue,40,5
720756708,52,F,3,Unknown,Married,Less than $40K,Blue,41,6
779471883,54,F,1,Graduate,Married,Less than $40K,Blue,40,2
711525033,66,F,0,High School,Married,Less than $40K,Blue,54,3
712813458,49,M,2,Unknown,Married,$120K +,Blue,36,4
714374133,56,M,2,Graduate,Married,$120K +,Blue,36,1
717891558,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6
716632758,49,F,3,Graduate,Single,Less than $40K,Blue,36,2
768563658,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4
711427458,44,F,5,Graduate,Married,Unknown,Blue,35,4
714091983,42,M,2,High School,Single,$60K - $80K,Blue,34,4
787584108,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4
712030833,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2
711481533,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5
710082708,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2
708155733,53,M,2,High School,Single,$120K +,Blue,44,4
788979258,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4
807986133,57,M,2,College,Married,$60K - $80K,Blue,52,5
788730933,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6
711314058,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2
717975333,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6
715971108,51,M,4,Graduate,Single,$120K +,Blue,42,3
720096558,55,F,2,Graduate,Married,Less than $40K,Blue,42,5
719580033,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4
820582308,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6
789973308,44,M,1,College,Single,$60K - $80K,Blue,35,3
712876233,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5
804595158,44,F,4,Graduate,Single,Less than $40K,Blue,36,6
